,TC,thr,M,delM,Tplot,Fi,Fi uncertainty,Daa,Daa uncertainty,ln(D/a^2),ln(D/a^2)-del,ln(D/a^2)+del
0,99.97,0.5,0.05308015,0.000530802,26.801029159519725,0.0530810970027603,0.0021274804487306544,1.3659636787078743e-07,1.4237136921640868e-10,-15.806235479688944,-15.807278301092575,-15.805193744629028
1,99.97,0.5,0.021986518,0.000219865,26.801029159519725,0.07506773035560514,0.002236037465273462,1.3659636770484652e-07,1.9089226139925174e-09,-15.80623548090377,-15.820308964326541,-15.79235731480058
2,99.98,0.5,0.014187446,0.000141874,26.80031088360625,0.08925383072670275,0.002266722986542097,1.130242368072792e-07,1.4264936674327022e-09,-15.995663556212524,-16.008365009964916,-15.983121408089287
3,99.98,0.5,0.013332649,0.000133326,26.80031088360625,0.10258734063125553,0.0022892717177070004,1.3422208588275644e-07,1.6655791836457008e-09,-15.823770051562551,-15.8362568167771,-15.811437284688655
4,99.98,0.5,0.011638698,0.000116387,26.80031088360625,0.11422618875043078,0.0021889731201589213,1.338625604658747e-07,1.6138145861951503e-09,-15.82645223151815,-15.83858124920435,-15.814468565687319
5,49.52,2.0,0.000445989,4.45989e-06,30.991415377940314,0.1146721427465036,0.0021890957483974363,1.3609444494666795e-09,1.6018146398014902e-11,-20.41508693007872,-20.42692661865131,-20.403385781065783
6,49.54,2.0,0.000444976,4.44976e-06,30.989494561343705,0.11511712465570202,0.0021891241113269275,1.36367495937463e-09,1.596940740043507e-11,-20.413082605501714,-20.42486228156988,-20.401440076224457
7,49.69,3.0,0.000674362,6.74362e-06,30.975096022797672,0.11579150763523621,0.0021879484809302907,1.3851644479004375e-09,1.6234460571162505e-11,-20.39744696940938,-20.409236433416623,-20.385794878876677
8,49.8,4.333333333,0.000977498,9.77498e-06,30.96454559529339,0.11676899323092202,0.0021875275969830132,1.4009943692331483e-09,1.6354479601262612e-11,-20.38608358870515,-20.39782573860092,-20.374477718227844
9,59.88,3.0,0.001861957,1.86196e-05,30.027324865627723,0.11863116322699524,0.0022091840548077446,3.906682179493711e-09,4.5680840596592434e-11,-19.360577370613374,-19.372339272889672,-19.348952203969116
10,59.93,4.333333333,0.002645371,2.64537e-05,30.022817341179298,0.12127645043282007,0.002177055500180991,3.924014211326903e-09,4.572926518229691e-11,-19.356150673606912,-19.367872805222255,-19.34456435982385
11,69.98,2.0,0.003111703,3.1117e-05,29.14347331915018,0.12438845022661227,0.0022017335072864255,1.026705436680138e-08,1.1920041969898827e-10,-18.39432567334786,-18.406003587596903,-18.382782560099745
12,69.99,3.0,0.004511917,4.51192e-05,29.14262400186513,0.12890011290639453,0.0022026724828705796,1.0267653000615019e-08,1.1917410169071954e-10,-18.394267368761085,-18.40594200486402,-18.38272745842455
13,69.99,4.333333333,0.006214618,6.21462e-05,29.14262400186513,0.13511511789149278,0.0022666390247677165,1.0254918854194707e-08,1.1933831414383194e-10,-18.395508358257402,-18.407213777967495,-18.383938371625355
14,79.98,1.0,0.003393188,3.39319e-05,28.31818310537196,0.13850816782469155,0.002290153262685571,2.525497003130165e-08,2.8871388761280746e-10,-17.494242867671264,-17.505740678069436,-17.482875755595987
15,80.0,2.0,0.006523265,6.52327e-05,28.31657935721365,0.14503121942717714,0.0023364376174154905,2.5269531481183373e-08,2.895318762581221e-10,-17.49366645623329,-17.505190348064623,-17.48227385296605
16,79.99,3.0,0.00917942,9.17942e-05,28.317381208585832,0.1542107958294036,0.002335298450834966,2.519953338235684e-08,2.869050825256602e-10,-17.496440359173608,-17.50789100140245,-17.485119351157625
17,90.0,1.0,0.006763294,6.76329e-05,27.53683051080821,0.160974052471639,0.0024277062200614152,5.909927327846347e-08,6.746709677937469e-10,-16.64404720908266,-16.65552876337958,-16.632695985886695
18,90.0,1.0,0.006440982,6.44098e-05,27.53683051080821,0.16741519282295564,0.0024882322002471036,5.900174335853436e-08,6.67160598288684e-10,-16.645698845027503,-16.657070733173317,-16.634454823993675
19,90.0,1.5,0.00913829,9.13829e-05,27.53683051080821,0.1765538350171346,0.002491789405440717,5.888416631360445e-08,6.641148641526767e-10,-16.64769360562687,-16.659036014921806,-16.636478405075394
20,90.0,2.0,0.011357245,0.000113572,27.53683051080821,0.1879099398362084,0.0025575441244309466,5.8726179723820305e-08,6.646778035554795e-10,-16.65038021764927,-16.66176301026796,-16.63912553610428
21,99.97,0.5,0.006000353,6.00035e-05,26.801029159519725,0.19391008982677613,0.002519640099386461,1.310970177885862e-07,1.4576882499922804e-09,-15.847328194043525,-15.858509630403548,-15.836270400967022
22,119.96,0.5,0.024240831,0.000242408,25.438172521686045,0.21815057269252155,0.002743664491606207,5.801864245480409e-07,6.509365094926939e-09,-14.35991636341626,-14.37119921314678,-14.348759397377542
23,119.98,1.0,0.040235551,0.000402356,25.436878386284434,0.2583862777928373,0.003298128389350008,5.753701752632422e-07,6.373487241079059e-09,-14.368252220221974,-14.379391223536206,-14.357235928670669
