,TC,thr,M,delM,Tplot,Fi,Fi uncertainty,Daa,Daa uncertainty,ln(D/a^2),ln(D/a^2)-del,ln(D/a^2)+del
0,99.98,30,59871570.6,723848.2951,26.80031088360625,0.011496441440906297,0.00013970879596275678,6.40830911477095e-09,2.562222461728117e-10,-18.865670389459456,-18.906474484459448,-18.82646619922464
1,99.99,60,105086823.9,1221672.991,26.79959264619178,0.03167365149357968,0.00023377722257890172,2.1119061458398123e-08,3.8321565350064506e-10,-17.673089817618585,-17.691401952910606,-17.655106995239755
2,99.99,120,180246226.5,2087217.851,26.79959264619178,0.06628890143670293,0.0003939850274221223,4.1097680491605765e-08,6.673277585775268e-10,-17.00731415276413,-17.023685028794855,-16.991206971200352
3,100.0,120,154476012.5,1764663.284,26.798874447273217,0.09595526780116222,0.0003364462201172013,5.8331203910540106e-08,8.416921221131291e-10,-16.65712865674805,-16.67166330946021,-16.642802237182206
4,99.98,30,35538131.39,455580.3392,26.80031088360625,0.10277950286537704,8.855768662404698e-05,7.137333091598665e-08,1.059302387681888e-09,-16.455341553958387,-16.47029450571474,-16.44060890286729
5,99.99,60,67382621.07,798251.5835,26.79959264619178,0.11571882793109305,0.00015473867398594344,7.504470174601845e-08,1.0458438050203423e-09,-16.405181877681184,-16.41921617709109,-16.391341816971106
6,49.46,120,2007316.29,71824.8933,30.997179256687645,0.11610425530592237,1.3825208132655827e-05,1.192786266733104e-09,4.341675157509597e-11,-20.5469738660142,-20.584052292602657,-20.51122123710451
7,49.67,180,2661694.028,80772.06106,30.977015054829316,0.11661543728597816,1.5607924731597473e-05,1.0589180832268231e-09,3.297271982701014e-11,-20.66601812626821,-20.69765134366274,-20.6353549618272
8,49.76,260,3740849.295,101810.0464,30.968381282710357,0.11733391429062148,1.9577113907806102e-05,1.0363306850167226e-09,2.8964098293826977e-11,-20.68757955000911,-20.715926251002188,-20.660014284243925
9,69.98,120,10833535.53,174848.8916,29.14347331915018,0.11941442075332524,3.3724584957879015e-05,6.588623652249308e-09,1.1415304667676702e-10,-18.83792136422844,-18.855398992460458,-18.82074396372746
10,69.99,180,16413156.4,240936.2304,29.14262400186513,0.12256629077964779,4.659627735345756e-05,6.817566340818223e-09,1.0925663306163848e-10,-18.803763270296383,-18.8199188241412,-18.78786457419037
11,69.99,260,22838107.72,319085.8511,29.14262400186513,0.12695195910760637,6.138564445117902e-05,6.794837677351942e-09,1.0355301633303549e-10,-18.8071026781714,-18.82245995418298,-18.791977685345476
12,79.695,180,35933512.24,465469.8779,28.34105627116723,0.1338521787271144,8.977796998334717e-05,1.6223135023469032e-08,2.330095509137407e-10,-17.9368275255873,-17.951294463192294,-17.92256689912251
13,79.99,180,36151108.41,449434.048,28.317381208585832,0.140794304777563,8.672819370304845e-05,1.7295273970466325e-08,2.392741706293764e-10,-17.872832553661276,-17.886763800698617,-17.85909272265717
14,90.01,30,13205253.97,200419.763,27.5360722546536,0.14332994367980664,3.874666242888957e-05,3.938179619742857e-08,6.399830865302724e-10,-17.04996215285514,-17.066346378026132,-17.0338420489101
15,90.0,60,25077071.83,334636.3804,27.53683051080821,0.14814577322114253,6.44886109140252e-05,3.849019054353137e-08,5.581577418502894e-10,-17.07286241919454,-17.087469889175722,-17.058465258984686
16,90.0,60,25746886.71,343680.9419,27.53683051080821,0.15308992963653947,6.621212987173222e-05,4.1024614206467214e-08,5.944745657497662e-10,-17.00909360387877,-17.02369029941106,-16.99470691020866
